movie_id,title,industry,release_date,release_year,release_weekday,genre,languages,num_languages,weekend1_collection_cr,worldwide_collection_cr,india_net_cr,india_gross_cr,overseas_cr
10136,Ishtaragam,Malayalam,31-05-24,2024,4,Romantic|Thriller,Malayalam,1,,,,,
10085,Mandakini,Malayalam,24-05-24,2024,4,Comedy|Drama,Malayalam,1,0.67,3.42,3.02,3.42,
10094,Thalavan,Malayalam,24-05-24,2024,4,Crime|Drama|Thriller,Malayalam,1,2.8,25.07,15.29,17.57,7.5
9917,Turbo,Malayalam,23-05-24,2024,3,Action|Comedy,Malayalam,1,18.35,72.25,34.55,40.25,32
10079,CID Ramachandran RTD SI,Malayalam,17-05-24,2024,4,Drama|Thriller,Malayalam,1,0.03,0.1,0.08,0.1,
10078,Gu (2024),Malayalam,17-05-24,2024,4,Drama|Horror,Malayalam,1,0.19,0.53,0.47,0.53,
10072,Guardian Angel,Malayalam,17-05-24,2024,4,Action|Drama,Malayalam,1,0.03,0.04,0.04,0.04,
10069,Kattis Gang,Malayalam,16-05-24,2024,3,Action|Suspense|Thriller,Malayalam,1,0.05,0.08,0.08,0.08,
10063,Sureshanteyum Sumalathayudeyum Hrudayahariyaya Pranayakadha,Malayalam,16-05-24,2024,3,Comedy|Drama|Romantic,Malayalam,1,0.09,0.29,0.65,0.7294,
10057,Guruvayoorambala Nadayil,Malayalam,16-05-24,2024,3,Comedy|Drama,Malayalam,1,18.8,90.17,47.9,55.32,34.85
10054,Sweet Chakkara Umma,Malayalam,10-05-24,2024,4,Comedy|Drama|Romantic,Malayalam,1,0.01,0.01,0.01,0.01,
10049,Perumani,Malayalam,10-05-24,2024,4,Comedy|Drama,Malayalam,1,0.33,0.63,0.56,0.63,
10026,Marivillin Gopurangal,Malayalam,10-05-24,2024,4,Comedy|Drama,Malayalam,1,0.32,0.52,0.49,0.52,
10024,Aaro,Malayalam,09-05-24,2024,3,Drama|Thriller,Malayalam,1,0.15,0.19,0.17,0.19,
10018,Cadburys,Malayalam,03-05-24,2024,4,Drama,Malayalam,1,0.03,0.03,0.03,0.03,
9999,Nadikar,Malayalam,03-05-24,2024,4,Comedy|Drama,Malayalam,1,2.15,2.76,4.32,4.96,0
9987,Malayalee From India,Malayalam,01-05-24,2024,2,Comedy|Drama,Malayalam,1,7.5,18.39,10.8,12.39,6
9982,Panchavalsara Padhathi,Malayalam,26-04-24,2024,4,Comedy|Drama,Malayalam,1,0.05,0.23,0.2,0.23,
9978,Anjaam Vedham,Malayalam,26-04-24,2024,4,Drama|Social,Malayalam,1,,0.03,0.03,0.03,
9958,Pavi Caretaker,Malayalam,26-04-24,2024,4,Comedy|Drama|Romantic,Malayalam,1,3.35,8.12,7.1,8.12,0
6734,Bade Miyan Chote Miyan,Hindi,11-04-24,2024,3,Action|Comedy,Hindi|Kannada|Malayalam|Tamil|Telugu,5,40.8,111.5,65.97,78.5,33
9849,Jai Ganesh,Malayalam,11-04-24,2024,3,Drama|Family,Malayalam,1,1.41,3.97,3.45,3.97,0
9895,Varshangalkku Shesham,Malayalam,11-04-24,2024,3,Comedy|Drama|Romantic,Malayalam,1,13.3,81.7,39,45.2,36.5
9465,Aavesham,Malayalam,11-04-24,2024,3,Action,Malayalam,1,16,154.8,85.16,98.8,56
9861,Bharathanatyam,Telugu,05-04-24,2024,4,Comedy|Crime,Malayalam|Telugu,2,0.51,0.94,0.83,0.94,
9887,L (Malayalam),Malayalam,05-04-24,2024,4,Horror|Thriller,Malayalam,1,0.02,0.02,0.02,0.02,
9886,Chappakuthu,Malayalam,05-04-24,2024,4,Drama,Malayalam,1,0,0.04,0.04,0.04,
9885,Badal The Manifesto,Malayalam,05-04-24,2024,4,Action|Drama,Malayalam,1,0.02,0.06,0.06,0.06,
9847,Swaram,Malayalam,29-03-24,2024,4,Drama,Malayalam,1,,0.02,0.02,0.02,
9835,Vayassethrayayi Muppathi,Malayalam,28-03-24,2024,3,Drama,Malayalam,1,0.1,0.2,0.19,0.2,
9816,Aadujeevitham - The Goat Life,Malayalam,28-03-24,2024,3,Adventure|Drama,Hindi|Kannada|Malayalam|Tamil|Telugu,5,30.3,157.62,85.26,98.12,59.5
9813,Kuthood,Malayalam,22-03-24,2024,4,Drama,Malayalam,1,0.02,0.02,0.02,0.02,
9812,Ennittum Neeyenne Arinjillallo,Malayalam,22-03-24,2024,4,Crime|Drama,Malayalam,1,,,,,
9802,Secret Home,Malayalam,22-03-24,2024,4,Crime|Drama,Malayalam,1,0.06,0.25,0.23,0.25,
9771,Dial 100,Malayalam,15-03-24,2024,4,Crime|Thriller,Malayalam,1,,0.02,0.02,0.02,
9766,Ithuvare,Malayalam,15-03-24,2024,4,Drama,Malayalam,1,0.07,0.12,0.1,0.12,
9765,Jananam: 1947 Pranayam Thudarunnu,Malayalam,15-03-24,2024,4,Drama|Romantic,Malayalam,1,0.03,0.09,0.09,0.09,
9757,Anchakkallakokkan,Malayalam,15-03-24,2024,4,Action|Crime|Thriller,Malayalam,1,0.93,2.66,2.77,3.097,
9737,Razakar - Silent Genocide of Hyderabad,Telugu,15-03-24,2024,4,Drama|Historical,Hindi|Malayalam|Tamil|Telugu,4,0.51,1.92,4.95,5.4816,
9732,Oru Sarkar Ulpannam,Malayalam,08-03-24,2024,4,Comedy|Drama,Malayalam,1,0.09,0.17,0.15,0.17,
9731,Manasa Vacha,Malayalam,08-03-24,2024,4,Comedy|Drama,Malayalam,1,0.08,0.13,0.13,0.13,
9701,Thankamani,Malayalam,07-03-24,2024,3,Crime|Drama,Malayalam,1,0.53,0.81,2.43,2.7765,
9693,The Spoils,Malayalam,01-03-24,2024,4,Drama|Mystery,Malayalam,1,0.03,0.04,0.04,0.04,
9692,Kadakan,Malayalam,01-03-24,2024,4,Action|Drama|Family,Malayalam,1,0.09,0.17,0.14,0.17,
9691,Aanandhapuram Diaries,Malayalam,01-03-24,2024,4,Drama|Thriller,Malayalam,1,0.05,0.24,0.22,0.24,
9655,Choppu,Malayalam,23-02-24,2024,4,Biography|Drama,Malayalam,1,,0.01,0,0.01,
9650,Family (Malayalam),Malayalam,22-02-24,2024,3,Drama|Thriller,Malayalam,1,0.08,0.13,0.12,0.13,
9614,Manjummel Boys,Malayalam,22-02-24,2024,3,Adventure|Drama|Thriller,Malayalam|Telugu,2,19.9,241.03,142.08,167.63,73.4
9651,Arivaal,Malayalam,22-02-24,2024,3,Crime|Thriller,Malayalam,1,0.03,0.03,0.03,0.03,
9599,Andhakara,Malayalam,16-02-24,2024,4,Crime|Thriller,Malayalam,1,0.13,0.25,0.22,0.25,0
9580,Thundu,Malayalam,16-02-24,2024,4,Comedy|Drama,Malayalam,1,0.51,0.86,0.77,0.86,
9385,Bramayugam,Malayalam,15-02-24,2024,3,Horror|Thriller,Kannada|Malayalam|Tamil|Telugu,4,13.89,58.32,27.03,31.92,26.4
9557,Jerry,Malayalam,09-02-24,2024,4,Comedy|Suspense,Malayalam,1,0.04,0.08,0.07,0.08,
9552,Anweshippin Kandethum,Malayalam,09-02-24,2024,4,Crime|Drama|Thriller,Malayalam,1,4.4,15.75,8.99,10.5,5.25
9551,Premalu,Malayalam,09-02-24,2024,4,Comedy|Romantic,Malayalam|Tamil|Telugu,3,8.9,131.5,75.64,89,42.5
9529,Kurinji,Malayalam,02-02-24,2024,4,Drama,Malayalam,1,0.03,0.03,0.03,0.03,
9528,Rhithum - Beyond The Truth,Malayalam,02-02-24,2024,4,Drama,Malayalam,1,,0.02,0.02,0.02,
9527,Mrudhu Bhave Dhruda Kruthye,Malayalam,02-02-24,2024,4,Drama|Thriller,Malayalam,1,0.09,0.21,0.19,0.21,
9526,Iyer in Arabia,Malayalam,02-02-24,2024,4,Comedy|Drama|Family,Malayalam,1,0.16,0.38,0.34,0.38,
9525,Ozhuki Ozhuki Ozhuki,Malayalam,02-02-24,2024,4,Drama,Malayalam,1,0.02,0.05,0.05,0.05,
9524,LLB (Malayalam),Malayalam,02-02-24,2024,4,Drama|Thriller,Malayalam,1,0.23,0.5,0.44,0.5,
7880,Malaikottai Vaaliban,Malayalam,25-01-24,2024,3,Action|Drama|Period,Malayalam,1,10.8,29.82,14.02,16.67,13.15
9455,Peppatty,Malayalam,19-01-24,2024,4,Action|Drama,Malayalam,1,0.04,0.08,0.06,0.08,
9454,Pinnil Oral,Malayalam,19-01-24,2024,4,Drama|Romantic|Thriller,Malayalam,1,,0.01,0.01,0.01,
9453,Mayavanam,Malayalam,19-01-24,2024,4,Drama|Thriller,Malayalam,1,0.02,0.09,0.07,0.09,
9452,Devil Hunters,Malayalam,19-01-24,2024,4,Horror|Thriller,Malayalam,1,0.04,0.08,0.07,0.08,
9451,Vivekanandan Viralanu,Malayalam,19-01-24,2024,4,Drama|Family,Malayalam,1,0.21,0.44,0.38,0.44,
9424,Qalb,Malayalam,12-01-24,2024,4,Drama|Family|Romantic,Malayalam,1,0.3,0.76,0.66,0.76,
6245,Hanuman,Telugu,12-01-24,2024,4,Superhero,Hindi|Kannada|Malayalam|Tamil|Telugu,5,36.5,295.29,201.91,238.29,57
9415,Abraham Ozler,Malayalam,11-01-24,2024,3,Crime|Drama|Thriller,Malayalam,1,10.65,40.7,21.03,25,15.7
9412,Palayam PC,Malayalam,05-01-24,2024,4,Drama|Thriller,Malayalam,1,0.03,0.08,0.07,0.08,
9395,Mangomury,Malayalam,05-01-24,2024,4,Drama,Malayalam,1,0.03,0.06,0.05,0.06,
9394,Raastha,Malayalam,05-01-24,2024,4,Family|Thriller,Malayalam,1,0.09,0.16,0.16,0.16,
9391,Aattam,Malayalam,05-01-24,2024,4,Drama|Suspense,Malayalam,1,0.5,1.42,1.22,1.42,
11326,Out of Syllabus,Kannada,27-12-24,2024,4,Comedy|Drama|Romantic,Kannada,1,0.07,0.09,0.09,0.09,
11310,Max (Kannada),Kannada,25-12-24,2024,2,Action|Drama|Thriller,Kannada|Tamil|Telugu,3,28.38,57.3,48.58,57.3,0
11288,UI (2024),Kannada,20-12-24,2024,4,Action|Sci-Fi|Thriller,Hindi|Kannada|Tamil|Telugu,4,18.5,40.5,32.7,38.35,2.15
11255,Dheera Bhagat Roy,Kannada,06-12-24,2024,4,Action|Drama|Period,Kannada,1,0.05,0.12,0.11,0.12,
11256,Gumti,Kannada,05-12-24,2024,3,Drama|Romantic,Kannada,1,0.01,0.08,0.07,0.08,
6630,Pushpa: The Rule - Part 2,Telugu,05-12-24,2024,3,Action|Thriller,Hindi|Kannada|Malayalam|Tamil|Telugu,5,518.35,1742.1,1234.1,1471.1,271
11168,Haridasara Dinachari,Kannada,30-11-24,2024,5,Drama,Kannada,1,0,0.41,0.38,0.41,
11251,Idu Nam Shale,Kannada,29-11-24,2024,4,Drama,Kannada,1,,,,,
11250,Luck (Kannada),Kannada,29-11-24,2024,4,Crime|Thriller,Kannada,1,0.01,0.01,0.01,0.01,
11241,Thamate,Kannada,29-11-24,2024,4,Drama,Kannada,1,,0.01,0.01,0.01,
11240,Megha,Kannada,29-11-24,2024,4,Drama|Family|Romantic,Kannada,1,0.03,0.04,0.04,0.04,
11231,Naa Ninna Bidalare,Kannada,29-11-24,2024,4,Horror|Suspense|Thriller,Kannada,1,0.04,0.2,0.2,0.2,
11229,Jalandhara,Kannada,29-11-24,2024,4,Crime|Drama|Suspense|Thriller,Kannada,1,0.08,0.12,0.11,0.12,
11242,Anaatha,Kannada,28-11-24,2024,3,Action|Drama,Kannada,1,0.01,0.01,0.01,0.01,
11195,Dvija,Kannada,22-11-24,2024,4,Drama|Mystery,Kannada,1,,0.02,0.01,0.02,
11194,Maryade Prashne,Kannada,22-11-24,2024,4,Drama|Family,Kannada,1,0.07,0.25,0.25,0.25,
11193,Aaram Arvindswamy,Kannada,22-11-24,2024,4,Comedy|Romantic,Kannada,1,0.18,0.61,0.56,0.61,
11171,Zebra,Telugu,22-11-24,2024,4,Action|Comedy|Crime|Thriller,Kannada|Tamil|Telugu,3,0,0.65,4.78,5.4084,
11192,Anshu,Kannada,21-11-24,2024,3,Drama|Thriller,Kannada,1,0.01,0.06,0.05,0.06,
11148,Taarakeshwara,Kannada,15-11-24,2024,4,Drama,Kannada,1,0.03,0.08,0.07,0.08,
11149,Bhairathi Ranagal,Kannada,15-11-24,2024,4,Action|Crime|Drama,Kannada|Tamil|Telugu,3,8.89,24.18,20.75,23.83,0.35
7361,Kanguva,Tamil,14-11-24,2024,3,Action|Drama|Thriller,Hindi|Kannada|Malayalam|Tamil|Telugu,5,53.6,106.64,70.37,82.64,24
11134,Behind The Scenes,Kannada,08-11-24,2024,4,Drama,Kannada,1,0.03,0.05,0.05,0.05,
11133,U235,Kannada,08-11-24,2024,4,Crime|Drama,Kannada,1,,0.01,0.01,0.01,
